SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
30,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,17-05-2022 01:30,1.5
31,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,17-05-2022 03:30,1.5
32,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,17-05-2022 05:30,1.5
33,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,18-05-2022 10:30,11
34,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,18-05-2022 12:30,11
35,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,18-05-2022 14:30,11.5
36,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,18-05-2022 18:30,11.5
37,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,18-05-2022 19:30,11.5
38,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,18-05-2022 20:30,11.5
39,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,18-05-2022 21:30,11.5
