,file_size_bytes,width,height,aspect_ratio,brightness_mean,contrast_std,sharpness_gradient_energy,dark_pixel_ratio,shadow_proxy_ratio,wet_asphalt_proxy_ratio,water_color_proxy_ratio,edge_density
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,16560.0,700.0,700.0,1.0,0.991135,0.028066,9.7e-05,0.0,0.0,0.0,0.0,0.000269
std,,,,,,,,,,,,
min,16560.0,700.0,700.0,1.0,0.991135,0.028066,9.7e-05,0.0,0.0,0.0,0.0,0.000269
25%,16560.0,700.0,700.0,1.0,0.991135,0.028066,9.7e-05,0.0,0.0,0.0,0.0,0.000269
50%,16560.0,700.0,700.0,1.0,0.991135,0.028066,9.7e-05,0.0,0.0,0.0,0.0,0.000269
75%,16560.0,700.0,700.0,1.0,0.991135,0.028066,9.7e-05,0.0,0.0,0.0,0.0,0.000269
max,16560.0,700.0,700.0,1.0,0.991135,0.028066,9.7e-05,0.0,0.0,0.0,0.0,0.000269
