month,SlNo,State LGD Code,District LGD Code,Latitude
1,245229.30581039755,24.0,465.06978037253265,22.682357959380038
2,245335.2491758077,24.0,464.7017323023437,22.68790521926572
3,246062.45482443197,24.0,464.95892593685454,22.67161852529537
4,245442.5273883916,24.0,464.7512807521252,22.67811274598829
5,245388.03794542173,24.0,465.6601262967975,22.680988154844385
6,245139.92468250234,24.0,465.17462370649105,22.67569435285983
7,247547.91985448133,24.0,465.89879836842687,22.67585248429115
8,247172.76030641483,24.0,465.6655751125665,22.673395521787615
9,245669.31624580722,24.0,466.1584076957155,22.686800389986075
10,245273.9554683736,24.0,466.22300227131944,22.685283522267188
11,244336.29073157502,24.0,465.6741473998237,22.683199234628788
12,245492.06094808126,24.0,466.2498745924254,22.681955734710307
