month,SlNo,State LGD Code,District LGD Code,Latitude
1,15796.159309021114,33.0,574.0786948176584,20.954911318559006
2,15601.346017699116,33.0,571.4132743362832,22.013698702223614
3,16452.531298904538,33.0,576.452269170579,19.508670042084113
4,15764.782608695652,33.0,576.0621118012423,20.69417848748227
5,14692.818888888889,33.0,573.2711111111112,21.712751252877982
6,15015.522222222222,33.0,572.1944444444445,21.268924492753808
7,16229.848662207358,33.0,572.6613712374582,20.301737509720354
8,15493.247240618102,33.0,574.023178807947,21.183347147809137
9,15668.066282420748,33.0,571.6628242074928,20.54280314455468
10,15150.372706422018,33.0,573.566513761468,20.377060185618685
11,14637.1051212938,33.0,572.61051212938,21.267248328017622
12,14568.043250327653,33.0,572.1598951507208,21.8890856660458
