month,SlNo,State LGD Code,District LGD Code,Latitude
1,5364.348547717842,28.0,504.0,14.644195480103734
2,7886.522346368715,28.0,505.79748603351953,14.621615454860336
3,10010.865314612585,28.0,507.39781591263653,14.597778354446177
4,11046.14513018322,28.0,507.78688524590166,14.591371476475409
5,11577.413544668589,28.0,507.76705091258407,14.589268330634006
6,11980.677277716795,28.0,508.4193194291987,14.566223928649835
7,12737.805380652548,28.0,510.2461362335432,14.529090821946195
8,13520.25156445557,28.0,510.6128493950772,14.528640082403003
9,11690.385126162018,28.0,508.58211598052236,14.577640425524567
10,10800.184065934065,28.0,507.6393249607535,14.595008393802981
11,13068.74150710315,28.0,508.1751080914145,14.594715701902409
12,9225.523698069046,28.0,506.26565242832066,14.612791917513166
