month,SlNo,State LGD Code,District LGD Code,Latitude
1,37381.10281014394,10.0,216.35195339273474,26.037728287032213
2,38226.533051498845,10.0,214.4327440430438,26.056506955092235
3,37869.64891663606,10.0,215.18325376423064,26.04948809931326
4,36499.16068917018,10.0,215.61708860759492,26.084660378590016
5,35893.858505564385,10.0,215.16732909379968,26.06847125631558
6,36328.61256961018,10.0,217.60938743038983,26.0653370051074
7,36725.74687381584,10.0,218.01780977643045,26.079781758707846
8,36153.54746716698,10.0,213.30994371482177,26.01732115996623
9,36766.72763157895,10.0,212.0798245614035,26.095163579530702
10,36439.46959280804,10.0,211.7567424643046,26.066127134531992
11,36924.93009627459,10.0,212.87944746755966,26.025426690812054
12,35586.61724659607,10.0,210.83509833585475,26.055591289489406
