month,SlNo,State LGD Code,District LGD Code,Latitude
1,642.1960784313726,33.0,584.2647058823529,12.071485642247191
2,831.3137254901961,33.0,585.0392156862745,11.329775884545453
3,949.8870967741935,33.0,584.0322580645161,10.967976190892857
4,820.4333333333333,33.0,589.1333333333333,11.309732511851852
5,1009.9545454545455,33.0,575.9090909090909,11.782097702068965
6,782.9846153846154,33.0,582.6615384615385,12.783086420952381
7,759.1904761904761,33.0,583.3333333333334,12.00747619057143
8,840.9354838709677,33.0,583.7096774193549,11.889125514444444
9,890.0,33.0,591.9444444444445,11.198950617222222
10,665.2941176470588,33.0,588.8235294117648,11.880434782826088
11,927.5824175824176,33.0,593.6373626373627,11.286486743295454
12,823.2549019607843,33.0,592.9411764705883,11.52359338106383
