feature,importance
river_level_m,3.6592138170708868
bridge_closures,2.9772171164457606
river_level_margin_m,2.9101591339483672
river_level_ratio,2.8219909514085053
rainfall_mm,2.3585239366905113
water_level_change_m,2.273777089833453
road_closures,2.2675411976832813
population_affected,2.2113974781810355
flood_history_count,1.9432220104230868
emergency_calls,1.6982363019553963
river_level_threshold_m,1.4345633488811387
district_Dibrugarh,1.1438584981170339
district_Tiruppur,0.8173231360351556
district_Jorhat,0.7745190385144604
district_Malda,0.7412439925273828
district_Kodagu,0.6538404146209
district_Darbhanga,0.6292991268718476
district_Udupi,0.603553531590975
district_Chennai,0.5572138039212415
district_Mumbai,0.5288683752469052
district_Murshidabad,0.5032586030128533
district_Alappuzha,0.46125192345429333
district_Varanasi,0.45560381779055764
district_Kendrapara,0.439449085597968
district_Darjeeling,0.4290020040203813
district_Bhagalpur,0.4279054156131368
district_Patna,0.42128268978681066
district_Rajkot,0.41701083555440666
district_Puri,0.41574689422281685
district_Lucknow,0.3706103381421211
district_Kozhikode,0.3686503242269112
district_Muzaffarpur,0.35577242906439416
district_Coimbatore,0.33598945686095677
district_Madurai,0.3129395313412362
district_Howrah,0.3061955268312005
district_Kolkata,0.30027279309325045
district_Ahmedabad,0.29850596463699725
district_Thanjavur,0.29141970361696673
district_Kochi,0.2685442347333733
state_Maharashtra,0.26829673115142755
state_West Bengal,0.2580647585674136
state_Bihar,0.2509902939226198
district_Kolhapur,0.24751541109633735
district_Pune,0.2339063879320397
district_Kanpur,0.22189585589671648
district_Dhemaji,0.17580847709491287
district_Bengaluru,0.1731062504812766
district_Gorakhpur,0.14837217530310196
district_Cuttack,0.14096844037640296
district_Guwahati,0.136871918529896
district_Vadodara,0.12698597683884572
district_Kottayam,0.12091738758333438
district_Bhubaneswar,0.11709629680328985
district_Nashik,0.11620302706536996
dayofweek,0.11164907273495688
district_Thrissur,0.10860960868634063
state_Gujarat,0.10199286243224087
district_Mangaluru,0.10034132351501153
district_Surat,0.09519418529603396
hour,0.09363298873088204
district_Barpeta,0.0926397187145449
district_Mysuru,0.08876244542121149
state_Kerala,0.08292831713915973
state_Karnataka,0.08183061091343026
district_Gaya,0.07058738988674883
state_Odisha,0.06674574710279406
district_Balasore,0.06606759074145152
month,0.06453777684334751
state_Assam,0.0635874304855517
district_Nagpur,0.059191092363160884
is_monsoon,0.053369684835422156
state_Tamil Nadu,0.025848552483113758
district_Prayagraj,0.025778718939097656
state_Uttar Pradesh,0.022718323807756
district_Bharuch,0.01339134549201223
